Activity Label,Category
Enhancement Request,Request
Documentation,Documentation
Internal Optimizations,Repo Maintenance
Enhancement Request,Request
Enhancement Request,Request
Enhancement Request,Request
Enhancement Request,Request
Discovery,Planning
Plugin Requesting,Request
Reporting Issues,Issue Report
Documentation,Documentation
Code Review,Repo Maintenance
Enhancement Request,Request
Bug Report,Issue Report
Documentation,Documentation
Security Report,Issue Report
Report Bugs,Issue Report
Documentation,Documentation
Submit Feedback,Issue Report
Issue Submission,Issue Report
Issue Submission,Issue Report
Idea Submission,Issue Report
Bug Report,Issue Report
Issue Submission,Issue Report
Documentation,Documentation
Proposals,Request
Documentation,Documentation
Bug Reporting,Issue Report
Feature Suggestion,Request
Bug Reporting,Issue Report
Documentation,Documentation
Documentation,Documentation
Discussion,Planning
Bug Reporting,Issue Report
Documentation,Documentation
Documentation,Documentation
Documentation,Documentation
Bug Report,Issue Report
Enhancement Request,Request
Bug Report,Issue Report
Documentation,Documentation
Discussion,Planning
Doucmentation,Documentation
Bug Reporting,Issue Report
Issue Submission,Issue Report